Latitude;Longitude;Speed;Time (absolute)
-2244.271300;-4732.064400;44.170200;1543678831.412520
-2244.272500;-4732.063200;47.966800;1543678831.528624
-2244.272500;-4732.063200;47.966800;1543678831.642010
-2244.273700;-4732.062000;56.874920;1543678831.750542
-2244.273700;-4732.062000;56.874920;1543678831.866433
-2244.275100;-4732.060900;55.226640;1543678831.973448
-2244.276600;-4732.059800;59.875160;1543678832.073429
-2244.276600;-4732.059800;59.875160;1543678832.178343
-2244.278300;-4732.058600;64.986680;1543678832.298948
-2244.278300;-4732.058600;64.986680;1543678832.399863
-2244.279900;-4732.057400;61.856800;1543678832.518197
-2244.279900;-4732.057400;61.856800;1543678832.609941
-2244.281200;-4732.056200;60.856720;1543678832.716307
-2244.282600;-4732.055300;55.652600;1543678832.838138
-2244.282600;-4732.055300;55.652600;1543678832.950374
-2244.284100;-4732.054600;54.096920;1543678833.082365
-2244.284100;-4732.054600;54.096920;1543678833.186346
-2244.285600;-4732.054100;51.967120;1543678833.270240
-2244.285600;-4732.054100;51.967120;1543678833.398286
-2244.287100;-4732.054300;50.226240;1543678833.491524
-2244.287100;-4732.054300;50.226240;1543678833.611359
-2244.288700;-4732.054700;51.522640;1543678833.723173
-2244.290200;-4732.055500;52.078240;1543678833.830876
-2244.290200;-4732.055500;52.078240;1543678833.974242
-2244.291700;-4732.056300;52.763480;1543678834.070428
-2244.291700;-4732.056300;52.763480;1543678834.202323
-2244.293200;-4732.057300;56.578600;1543678834.294335
-2244.293200;-4732.057300;56.578600;1543678834.414289
-2244.294900;-4732.058600;61.819760;1543678834.522236
-2244.296600;-4732.060100;66.894240;1543678834.644343
-2244.296600;-4732.060100;66.894240;1543678834.762390
-2244.298300;-4732.061700;70.172280;1543678834.864862
-2244.298300;-4732.061700;70.172280;1543678834.982987
-2244.300000;-4732.063200;70.987160;1543678835.093114
-2244.300000;-4732.063200;70.987160;1543678835.198624
-2244.301700;-4732.064800;65.079280;1543678835.334632
-2244.303400;-4732.066200;67.097960;1543678835.434925
-2244.303400;-4732.066200;67.097960;1543678835.526412
-2244.303400;-4732.066200;67.097960;1543678835.645374
-2244.305100;-4732.067500;68.949960;1543678835.745376
-2244.306600;-4732.068800;64.671840;1543678835.848912
-2244.306600;-4732.068800;64.671840;1543678835.976949
-2244.308100;-4732.070000;60.856720;1543678836.078068
-2244.308100;-4732.070000;60.856720;1543678836.198259
-2244.309300;-4732.071200;45.318440;1543678836.316445
-2244.309300;-4732.071200;45.318440;1543678836.428743
-2244.309900;-4732.072100;38.391960;1543678836.538301
-2244.310500;-4732.073000;35.243560;1543678836.655431
-2244.310500;-4732.073000;35.243560;1543678836.785663
-2244.311000;-4732.074000;31.298800;1543678836.870626
-2244.311000;-4732.074000;31.298800;1543678836.978647
-2244.311000;-4732.075000;31.372880;1543678837.078924
-2244.311000;-4732.075000;31.372880;1543678837.202736
-2244.310600;-4732.076100;31.335840;1543678837.293166
-2244.310600;-4732.076100;31.335840;1543678837.393140
-2244.310200;-4732.077000;31.446960;1543678837.498436
-2244.310200;-4732.077000;31.446960;1543678837.598423
-2244.309400;-4732.077500;31.521040;1543678837.721133
-2244.309400;-4732.077500;31.521040;1543678837.826670
-2244.308400;-4732.077700;32.965600;1543678837.937403
-2244.307500;-4732.078100;33.484160;1543678838.066260
-2244.307500;-4732.078100;33.484160;1543678838.166487
-2244.306300;-4732.078300;36.558480;1543678838.295049
-2244.306300;-4732.078300;36.558480;1543678838.389728
-2244.305000;-4732.078500;40.947720;1543678838.504742
-2244.305000;-4732.078500;40.947720;1543678838.633523
-2244.303600;-4732.078700;45.707360;1543678838.746449
-2244.302100;-4732.078800;49.596560;1543678838.856456
-2244.302100;-4732.078800;49.596560;1543678838.966198
-2244.302100;-4732.078800;49.596560;1543678839.062868
-2244.300600;-4732.079100;50.522560;1543678839.171647
-2244.299100;-4732.079400;50.633680;1543678839.278639
-2244.299100;-4732.079400;50.633680;1543678839.398790
-2244.297600;-4732.080000;57.319400;1543678839.504301
-2244.297600;-4732.080000;57.319400;1543678839.616957
-2244.296400;-4732.080800;49.096520;1543678839.718171
-2244.295000;-4732.081500;49.207640;1543678839.862273
-2244.295000;-4732.081500;49.207640;1543678839.934750
-2244.295000;-4732.081500;49.207640;1543678840.035755
-2244.293600;-4732.082200;49.726200;1543678840.138340
-2244.292000;-4732.082600;52.726440;1543678840.276452
-2244.292000;-4732.082600;52.726440;1543678840.350230
-2244.290100;-4732.082900;58.578760;1543678840.452562
-2244.290100;-4732.082900;58.578760;1543678840.564098
-2244.288200;-4732.083300;64.634800;1543678840.668485
-2244.288200;-4732.083300;64.634800;1543678840.779184
-2244.286100;-4732.083700;70.672320;1543678840.874884
-2244.286100;-4732.083700;70.672320;1543678840.975944
-2244.283900;-4732.084000;72.265040;1543678841.090514
-2244.283900;-4732.084000;72.265040;1543678841.198162
